               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11356,            0.036639,            0.041075,             0.42692,            0.087951,            0.053201,           0.0081132,            0.086147,            0.030321,             0.03753,             0.00048,             0.00048,             0.09568
                   1,            0.093822,            0.040374,            0.037191,             0.12562,             0.19079,            0.092614,            0.023451,            0.059243,            0.034899,            0.031729,          0.00096978,          0.00096978,             0.09127
                   2,            0.082041,            0.046781,            0.033771,             0.36199,              0.5696,             0.34424,             0.10616,            0.051915,            0.029788,            0.029571,           0.0014587,           0.0014587,            0.086859
                   3,            0.069442,            0.040075,            0.031326,           0.0071956,             0.72539,           0.0057941,           0.0020064,            0.070949,              10.223,            0.069323,           0.0019461,           0.0019461,            0.082446
                   4,            0.064608,            0.028358,            0.027348,             0.58076,             0.66528,             0.70754,             0.23096,            0.048556,            0.019716,            0.022218,           0.0024313,           0.0024313,            0.078031
                   5,             0.06598,            0.026025,            0.021991,             0.64655,             0.73956,             0.82394,             0.30452,            0.042539,            0.018698,            0.018479,           0.0029138,           0.0029138,            0.073614
                   6,            0.066269,            0.027835,            0.016392,             0.61884,             0.77817,             0.72796,             0.27334,            0.051507,            0.017109,            0.011421,           0.0033927,           0.0033927,            0.069193
                   7,            0.068339,            0.024551,            0.011326,             0.50442,             0.92409,             0.67247,             0.23439,             0.04559,            0.016967,           0.0085975,           0.0038676,           0.0038676,            0.064768
                   8,            0.068862,            0.023914,           0.0091685,             0.44098,             0.80407,             0.52529,             0.10377,            0.055756,            0.015403,           0.0070348,           0.0043378,           0.0043378,            0.060338
                   9,            0.073569,            0.019662,           0.0082386,             0.52919,              0.9152,             0.82054,             0.22762,            0.051193,            0.016027,           0.0075203,           0.0048026,           0.0048026,            0.055903
                  10,            0.068892,            0.017528,           0.0068121,             0.51863,             0.92914,             0.68979,             0.20256,            0.051386,            0.015578,           0.0068615,           0.0052615,           0.0052615,            0.051462
                  11,            0.066014,            0.018239,            0.006547,             0.40979,             0.62448,             0.53543,             0.13048,            0.058901,            0.013882,           0.0072312,           0.0057138,           0.0057138,            0.047014
                  12,             0.06965,            0.020864,           0.0062525,             0.73192,             0.84349,             0.87623,             0.36006,            0.051013,            0.013658,           0.0068391,            0.006159,            0.006159,            0.042559
                  13,            0.068251,            0.018315,           0.0054822,             0.48257,             0.84892,             0.53198,             0.14422,            0.049979,            0.015245,           0.0073118,           0.0065965,           0.0065965,            0.038096
                  14,             0.07185,            0.019747,           0.0060404,             0.24359,             0.69296,             0.20755,             0.06168,            0.061415,              7.1092,              0.3219,           0.0070256,           0.0070256,            0.033626
                  15,            0.070229,            0.017759,           0.0061883,             0.36324,             0.75089,             0.50481,             0.15252,            0.061946,             0.01303,            0.007173,            0.007446,            0.007446,            0.029146
                  16,            0.071885,            0.017629,           0.0064377,            0.044322,             0.90753,            0.041353,            0.014377,            0.058879,             0.64048,            0.016737,           0.0078569,           0.0078569,            0.024657
                  17,            0.062879,            0.015836,           0.0053514,             0.72421,             0.66439,             0.72741,             0.26521,            0.050122,            0.012041,           0.0072171,           0.0082579,           0.0082579,            0.020158
                  18,              0.0614,            0.017496,           0.0049032,             0.74677,             0.69148,             0.75594,             0.28734,            0.047608,            0.013105,           0.0068868,           0.0086485,           0.0086485,            0.015649
                  19,            0.064174,            0.017031,           0.0043773,             0.49036,             0.71511,             0.57358,              0.1538,            0.049679,            0.012993,           0.0071542,           0.0090282,           0.0090282,            0.011128
                  20,            0.066938,            0.018365,           0.0042728,             0.78703,             0.92852,             0.94761,             0.41346,            0.042062,            0.014713,           0.0076592,           0.0091406,           0.0091406,           0.0091406
                  21,            0.060688,            0.019072,            0.004938,             0.88887,             0.76225,             0.88952,             0.31763,            0.042035,            0.012614,           0.0066868,           0.0091406,           0.0091406,           0.0091406
                  22,            0.061073,            0.017244,           0.0053203,             0.89155,             0.89286,             0.90146,              0.3554,            0.042225,            0.013304,           0.0071498,           0.0090557,           0.0090557,           0.0090557
                  23,            0.056619,            0.014242,           0.0058721,             0.68441,             0.75752,             0.67264,              0.3003,            0.045892,            0.014802,           0.0079224,           0.0089673,           0.0089673,           0.0089673
                  24,            0.053388,            0.016562,           0.0051626,               0.704,             0.97795,             0.89434,             0.42525,             0.03759,            0.011838,           0.0071839,           0.0088755,           0.0088755,           0.0088755
                  25,            0.057428,            0.016647,           0.0044261,             0.69555,             0.98021,             0.94309,             0.49615,            0.034137,            0.011566,           0.0070416,           0.0087804,           0.0087804,           0.0087804
                  26,            0.047189,            0.014815,           0.0035062,             0.66075,             0.98065,             0.90978,             0.38595,            0.036119,            0.011545,           0.0066394,            0.008682,            0.008682,            0.008682
                  27,            0.050599,            0.015208,           0.0034511,             0.95918,             0.96995,             0.97613,             0.41853,             0.03423,            0.011595,           0.0068069,           0.0085805,           0.0085805,           0.0085805
                  28,            0.045521,            0.016857,           0.0041345,             0.87949,             0.94863,             0.96527,             0.44935,            0.034279,            0.011811,           0.0067223,           0.0084759,           0.0084759,           0.0084759
                  29,            0.046638,            0.015896,           0.0037494,             0.78722,             0.95873,              0.9369,             0.44808,            0.030827,            0.011255,            0.006783,           0.0083684,           0.0083684,           0.0083684
                  30,            0.045646,            0.016857,           0.0032612,             0.84634,             0.96752,             0.92517,             0.35625,            0.036003,            0.011191,           0.0063977,           0.0082581,           0.0082581,           0.0082581
                  31,            0.045705,            0.018137,            0.002823,             0.79071,             0.76273,             0.87187,             0.39375,            0.036657,            0.011001,           0.0059936,            0.008145,            0.008145,            0.008145
                  32,            0.042814,            0.016165,           0.0022854,             0.83906,             0.94171,             0.90632,              0.3919,            0.030555,             0.01117,           0.0056982,           0.0080294,           0.0080294,           0.0080294
